,carat,depth,table,price,x,y,z,Fair,Good,Ideal,Premium,Very Good,D,E,F,G,H,I,J,I1,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
28819,0.00045044089852067836,0.09023348321978751,0.08282300392154408,0.9924230119020108,0.0062771118761591315,0.00632070293085468,0.003908664571034274,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51096,0.00030384770489874603,0.02666156621858011,0.026961134378339437,0.9992737900543267,0.0024393407294688065,0.0024136634586322922,0.0015106794342148921,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9428,0.00026139283907537965,0.013614210368509357,0.012416159856080532,0.9998276094633272,0.0014637998988221259,0.0014790478144348564,0.0009192314840817516,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
49359,0.0002428947591138882,0.029480756057156235,0.02667079707917204,0.9992023620018382,0.0024241849488033157,0.0024479981604811477,0.0015049949780389937,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11643,0.00012864419412594654,0.012052971418877146,0.011281106254121466,0.9998622595758183,0.0011043609280350487,0.0011102983523793232,0.0006748872337991965,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12014,0.0001746993060463149,0.011860141777144267,0.011452510063036199,0.9998623616050755,0.0011918374879159703,0.001203484108319058,0.000731795981994008,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16996,0.00014880205159427794,0.009311177881938977,0.008397739545419646,0.9999203209607569,0.0009399575140311815,0.0009355376511125395,0.0005922616310980171,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
48858,0.00034384944936813176,0.03153590664204866,0.02701674245035321,0.9991282571639715,0.0027360591899721343,0.0027557077299360275,0.0017634564617594185,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30090,0.00044133996686608417,0.08357875622526469,0.08275124378739078,0.9930149254486894,0.006123592040266919,0.006068424544408658,0.003696222222503455,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5493,0.0002758311602333883,0.015274801043113106,0.015613084541512544,0.9997578468081866,0.0017304502033509738,0.0017460632878924863,0.0010200548567121529,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
52501,0.0002810379743613747,0.02410593329381369,0.021770547309683957,0.9994660355809453,0.002295803170839399,0.0022997614521684325,0.0013972733091488067,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
31199,0.00042057434846810865,0.08280057485465889,0.07622910065984469,0.9936068982559066,0.005756611394657237,0.005677753704319467,0.0036011678587581806,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
51083,0.0003296970422110059,0.025562225220775395,0.024406144683152386,0.9993673980785556,0.002556222522077539,0.002590476760229332,0.0015371589370617028,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13746,0.00021589283386904713,0.01102659267198935,0.010027419225983844,0.9998871413240827,0.0012097135649852394,0.0012239874713567468,0.0007493800845041306,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6668,0.000366131330740835,0.015279880869584182,0.01391299056815173,0.9997826204763068,0.001789161769553547,0.0017598712630942802,0.0011105983699138662,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
42052,0.0004478105044966953,0.04941628198744235,0.044781050449669534,0.9977532293171985,0.004124570436153773,0.004148139410074652,0.00260044345593695,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
48623,0.00029474201768259233,0.031672277832332806,0.026976388059084724,0.9991254836698046,0.002672660668816727,0.0026976388059084724,0.0017035089496570167,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4331,0.0002833287541021432,0.0173886078497982,0.01666639730012607,0.9997060647192287,0.0017833045111134893,0.0017749713124634262,0.0011138708862250923,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20258,0.00019796472971281311,0.007135937931508379,0.006560459066064155,0.9999520765958839,0.0008816336218605514,0.0008770297909369976,0.0005455539644411246,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
27609,0.00011363513762748998,0.0034036429317948185,0.003084382307031871,0.9999892111219117,0.0004393891988262945,0.00044317703674721085,0.00027759440763286836,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13583,0.00018892928617089536,0.011119837986058412,0.010076228595781085,0.9998857554777767,0.0011785588803993948,0.0011605656150497857,0.000723329267054285,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
45309,0.0004896426185243513,0.12052741379060955,0.10734472790726163,0.9868182004106156,0.007589460587127446,0.007645957812341792,0.00487759377683873,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11903,0.0002245789937288975,0.011931979579857076,0.011131306645693182,0.9998647372973524,0.001331851075853114,0.0013220867717779444,0.000810437238239065,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13752,0.0001783596597447577,0.010683743618710986,0.01070157958468546,0.9998842525291116,0.0010897775210404696,0.0010826431346506792,0.0006510127580683655,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
